URL,Size (Bytes),Number of Outlinks,Content Type
https://www.foxnews.com/video/topics/us/us-regions/southeast/georgia,280496,106,text/html
https://www.foxnews.com/video/6361612618112,67302,31,text/html
https://www.foxnews.com/video/6361611838112,74618,37,text/html
https://www.foxnews.com/video/6361619057112,75695,37,text/html
https://www.foxnews.com/video/6361620051112,75527,36,text/html
https://www.foxnews.com/video/6361670482112,68623,34,text/html
https://www.foxnews.com/video/6361671681112,66737,33,text/html
https://www.foxnews.com/video/6361808112112,76098,39,text/html
https://www.foxnews.com/video/6361893357112,67545,32,text/html
https://www.foxnews.com/video/6361892044112,68323,34,text/html
https://www.foxnews.com/video/6362128809112,66854,33,text/html
https://www.foxnews.com/video/topics/shows/the-faulkner-focus,317231,106,text/html
https://www.foxnews.com/video/6362135205112,68013,33,text/html
https://www.foxnews.com/video/topics/us/us-regions/midwest,279745,106,text/html
https://www.foxnews.com/video/topics/us/us-regions/west,255682,106,text/html
https://www.foxnews.com/video/6362358886112,69147,32,text/html
https://www.foxnews.com/opinion/us-not-china-should-take-lead-ai,298871,306,text/html
https://www.foxnews.com/video/topics/us/crime/trials,330945,106,text/html
https://www.foxnews.com/video/topics/politics/house-of-representatives,338979,106,text/html
https://www.foxnews.com/video/topics/us/us-regions/southwest,290545,106,text/html
https://www.foxnews.com/tech/what-is-ai-artificial-intelligence,284339,314,text/html
https://www.foxnews.com/us/us-military-needs-ai-vehicles-weapon-systems-be-superior-global-force-experts,238088,299,text/html
https://www.foxnews.com/category/politics/foreign-policy/nuclear-proliferation,124166,324,text/html
https://www.foxnews.com/video/6331395125112,66927,28,text/html
https://www.foxnews.com/politics/senate-ai-effect-us-energy-regulation-talks-heat-up,244123,307,text/html
https://www.foxnews.com/opinion/we-need-avoid-ready-fire-aim-approach-ai-regulation,259893,300,text/html
https://www.foxnews.com/video/6336264016112,71919,33,text/html
https://www.foxnews.com/video/6335510201112,73578,36,text/html
https://www.foxnews.com/politics/gary-marcus-sam-altman-senate-warned-perfect-storm-emerging-ai-disaster-democracy-threatened,253726,309,text/html
https://www.foxnews.com/category/politics/defense/joint-chiefs-of-staff,123922,323,text/html
https://www.foxnews.com/us/us-military-needs-ai-vehicles-weapon-systems-be-superior-global-force-experts.print,126289,43,text/html
https://www.foxnews.com/world/us-must-expand-nuclear-arsenal-face-russia-china-warns-obama-wmd-advisor,259215,302,text/html
https://www.foxnews.com/category/world/disasters/nuclear,123147,324,text/html
https://www.foxnews.com/world/israel-prepares-for-iran-attack-amid-warnings-regime-close-to-having-nuclear-weapon-unnerving,275612,311,text/html
https://www.foxnews.com/world/military-experts-suggest-iran-may-declare-itself-nuclear-power-year-end,250367,301,text/html
https://www.foxnews.com/category/topic/woke,165486,351,text/html
https://www.foxnews.com/media/biden-harris-department-energy-official-calls-queering-nuclear-weapons-part-radical-dei-agenda,254685,295,text/html
https://www.foxnews.com/politics/iran-nuclear-weapon-next-election-troops-middle-east,248504,307,text/html
https://www.foxnews.com/world/iran-threatens-nightmare-israel-un-watchdog-warns-tehran-nuclear-programs-runs-unchecked,259666,306,text/html
https://www.foxnews.com/category/person/kim-jong-un,124351,324,text/html
https://www.foxnews.com/world/kim-jong-un-promises-steadily-strengthen-north-koreas-nuclear-force,236654,293,text/html
https://www.foxnews.com/politics/kim-jong-un-shows-off-his-nuclear-facility-first-ever-photos,253143,306,text/html
https://www.foxnews.com/world/top-russian-official-lands-iran-amid-us-uk-concerns-over-alleged-nuclear-deal,245113,302,text/html
https://www.foxnews.com/politics/iran-hacks-who-do-want-win-election,248987,305,text/html
https://www.foxnews.com/tech/what-is-bert,270392,304,text/html
https://www.foxnews.com/tech/what-some-controversies-surrounding-natural-language-processing,241152,294,text/html
https://www.foxnews.com/tech/how-tech-titans-feel-ai-thoughts-elon-musk-bill-gates-mark-zuckerberg,302157,317,text/html
https://www.foxnews.com/tech/ai-education-understanding-artificial-intelligence-books-blogs-courses,239460,298,text/html
https://www.foxnews.com/entertainment/could-ai-movies-matrix-her-become-reality-experts-weigh-in,281439,323,text/html
https://www.foxnews.com/opinion/helped-build-sophia-robot-should-not-scared-ai-5-reasons,268983,296,text/html
https://www.foxnews.com/tech/ai-around-world-how-us-eu-china-plan-regulate-ai-software-companies,255615,301,text/html
https://www.foxnews.com/tech/you-ready-ai-voice-cloning-your-phone,250610,299,text/html
https://www.foxnews.com/tech/police-using-invasive-facial-recognition-software-put-every-american-in-perpetual-lineup,255564,303,text/html
https://www.foxnews.com/tech/artificial-intelligence-quiz-know-ai,210564,280,text/html
https://www.foxnews.com/health/chatgpt-health-care-could-ai-chatbot-change-patient-experience,262810,302,text/html
https://www.foxnews.com/us/artificial-intelligence-wont-ever-able-comprehend-one-thing,243323,301,text/html
https://www.foxnews.com/tech/what-dangers-find-out-why-people-afraid-artificial-intelligence,289984,301,text/html
https://www.foxnews.com/tech/what-is-chatgpt,271183,308,text/html
https://www.foxnews.com/tech/five-disturbing-examples-ai-not-quite-there,244833,301,text/html
https://www.foxnews.com/tech/what-four-main-types-ai-find-future-ai-programs-change-world,245121,295,text/html
https://www.foxnews.com/tech/history-ai,337864,320,text/html
https://www.foxnews.com/tech/frequently-asked-artificial-intelligence-questions-answered,317734,340,text/html
https://www.foxnews.com/video/6325394476112,70805,29,text/html
https://www.foxnews.com/tech/what-is-ai-artificial-intelligence.print,155060,63,text/html
https://www.foxnews.com/video/6337137077112,70970,32,text/html
https://www.foxnews.com/opinion/chinas-ai-dominance-wake-up-call-us-all,250550,290,text/html
https://www.foxnews.com/video/6336983437112,68065,34,text/html
https://www.foxnews.com/video/6338103305112,75323,40,text/html
https://www.foxnews.com/opinion/united-states-china-taking-opposite-approaches-ai,266426,300,text/html
https://www.foxnews.com/world/chinas-military-targets-american-troops-veterans-exploitation-campaign-general,245954,295,text/html
https://www.foxnews.com/video/6337960483112,68438,35,text/html
https://www.foxnews.com/world/pentagon-looking-develop-fleet-ai-drones-systems-combat-china-report,243581,296,text/html
https://www.foxnews.com/video/6336888609112,73449,34,text/html
https://www.foxnews.com/opinion/us-not-china-should-take-lead-ai.print,133748,55,text/html
https://www.foxnews.com/person/d/jake-denton,105542,278,text/html
https://www.foxnews.com/person/f/kara-frederick,105560,278,text/html
https://www.foxnews.com/us/china-us-race-unleash-killer-ai-robot-soldiers-military-power-hangs-balance-experts.print,129876,46,text/html
https://www.foxnews.com/person/l/michael-lee,146436,355,text/html
https://www.foxnews.com/world/saudi-arabia-switches-focus-israel-iran-cool-tensions-hamas-terrorist-attack,241763,295,text/html
https://www.foxnews.com/live-news/hamas-attack-israel-war,2470218,1792,text/html
https://www.foxnews.com/world/israel-warns-civilians-northern-gaza-evacuate-area-24-hours-safety,237071,294,text/html
https://www.foxnews.com/video/6339079540112,70220,29,text/html
https://www.foxnews.com/world/israel-gives-palestinian-citizens-deadline-flee-gaza-troops-amass-border.print,131112,45,text/html
https://www.foxnews.com/video/6362139216112,73400,34,text/html
https://www.foxnews.com/video/6362140696112,73628,35,text/html
https://www.foxnews.com/politics/trump-says-only-consequential-presidents-get-shot-at-during-michigan-event,243248,304,text/html
https://www.foxnews.com/world/israeli-defense-minister-yoav-gallant-oversees-launch-new-spy-satellite-raising-questions-future,246263,297,text/html
https://www.foxnews.com/politics/battleground-state-voters-blame-dems-toxic-rhetoric-attempts-trumps-life,238692,305,text/html
https://www.foxnews.com/video/6338957376112,72606,36,text/html
https://www.foxnews.com/video/6338964656112,72098,32,text/html
https://www.foxnews.com/world/israel-warns-civilians-northern-gaza-evacuate-area-24-hours-safety.print,124727,43,text/html
https://www.foxnews.com/world/hamas-militant-attacks-israeli-settlement-west-bank-prompting-questions-israeli-raids-effectiveness,214364,287,text/html
https://www.foxnews.com/category/world/conflicts/ukraine,122882,324,text/html
https://www.foxnews.com/world/zelenskyy-accuses-russia-terror-bombing-ukrainian-village-killed-52-absolute-evil,231024,293,text/html
https://www.foxnews.com/world/china-establishes-strategic-partnership-palestinian-authority-mahmoud-abbas-beijing-visit,218981,288,text/html
https://www.foxnews.com/world/israeli-tanks-strike-syrian-structures-demilitarized-zone-alleging-1974-ceasefire-violation,213982,287,text/html
https://www.foxnews.com/politics/gop-presidential-candidates-declare-support-israel-hamas-assault-joe-biden-funded-attacks,278743,322,text/html
https://www.foxnews.com/politics/republicans-biden-unfreezing-6-billion-iran-hamas-attack-israel,272388,313,text/html
https://www.foxnews.com/world/eyewitness-hamas-terror-invasion-worse-than-nightmare-scenario,245797,296,text/html
https://www.foxnews.com/sports/enes-kanter-freedom-condemns-unprecedented-attack-israel-undeniably-barbaric,238019,298,text/html
https://www.foxnews.com/politics/absence-house-speaker-could-serious-impact-us-handling-terror-attacks-israel,269698,308,text/html
https://www.foxnews.com/opinion/israel-war-hamas-surprise-attack-spotlights-biden-teams-failures-comes-next,281538,308,text/html
https://www.foxnews.com/politics/clearly-irans-war-israel-gop-congressman-traveling-middle-east-warns-sustained-conflict,263972,305,text/html
https://www.foxnews.com/world/world-leaders-condemn-hamas-unprecedented-attack-iran-hezbollah-praise-terrorists,277902,305,text/html
https://www.foxnews.com/category/person/kevin-mccarthy,135488,342,text/html
https://www.foxnews.com/politics/gov-whitmer-blasted-omitting-israel-terror-attack-statement-say-their-names,251845,304,text/html
https://www.foxnews.com/politics/scott-says-us-must-stand-shoulder-shoulder-israel-hamas-terror-attack,260415,311,text/html
https://www.foxnews.com/politics/tlaibs-tweet-calling-israel-apartheid-state-gets-torn-apart-instant-fact-check,250765,306,text/html
https://www.foxnews.com/video/6338691686112,73363,34,text/html
https://www.foxnews.com/video/6338686946112,74852,35,text/html
https://www.foxnews.com/politics/haley-slams-blinken-irresponsible-saying-no-link-between-israel-attack-6b-released-iran,252972,306,text/html
https://www.foxnews.com/category/person/nikki-haley,121771,324,text/html
https://www.foxnews.com/lifestyle/this-day-history-september-11-2001-us-experiences-worst-terrorist-attack-american-history,261140,311,text/html
https://www.foxnews.com/video/6338680838112,72732,32,text/html
https://www.foxnews.com/politics/cory-booker-staff-safe-sheltering-place-jerusalem-hamas-attacked-israel-spokesperson,251971,305,text/html
